Namespace(rate=0.2, data_file_dir='../Data/', data_dir='../Data/functional_connectivity/node=25_size=480_step=180_rho=0.100000/', output='./linear_node=25_size=480_step=180_rho=0.100000_num_iter=150.log', num_iter=150, Linear=True)
train acc=1.0, test acc=0.7860696517412935, train auc=1.0, test auc=0.7873711340206185
train acc=1.0, test acc=0.8855721393034826, train auc=1.0, test auc=0.8806306306306306
train acc=1.0, test acc=0.845771144278607, train auc=1.0, test auc=0.8418419440473759
train acc=1.0, test acc=0.8805970149253731, train auc=1.0, test auc=0.8836276083467095
train acc=1.0, test acc=0.8905472636815921, train auc=1.0, test auc=0.8914414414414414
train acc=1.0, test acc=0.8606965174129353, train auc=1.0, test auc=0.8600020064205457
train acc=1.0, test acc=0.8407960199004975, train auc=1.0, test auc=0.8391577060931901
train acc=1.0, test acc=0.8656716417910447, train auc=1.0, test auc=0.8644662921348314
train acc=1.0, test acc=0.9054726368159204, train auc=1.0, test auc=0.9007507507507508
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8737237237237238
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8762626262626263
train acc=1.0, test acc=0.8756218905472637, train auc=1.0, test auc=0.8780671761866452
train_acc_list: min=1.0, max=1.0, mean=1.0, var=0.0
test_acc_list: min=0.7860696517412935, max=0.9203980099502488, mean=0.8738971807628523, var=0.0005154943909529195
train_auc_list: min=1.0, max=1.0, mean=1.0, var=0.0
test_auc_list: min=0.7873711340206185, max=0.9206482950039651, mean=0.8729625371396734, var=0.0005229031183701809
