t = 12.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 12.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 13.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 13.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 14.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 14.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 15.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 15.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 16.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 16.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 17.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 17.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 18.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 18.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 19.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 19.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 20.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 20.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 21.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 21.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 22.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 22.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 23.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 23.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 24.0000, min(ks_m) = 0.0000, max(ks_m) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
t = 24.0000, min(ks_f) = 0.0000, max(ks_f) = 0.0000, cnt(pvalue >= 0.05) = 0.0000(0.0000%)
min_ks_m = 0.0000, min_ks_f = 0.0000
max_ks_m = 0.0000, max_ks_f = 0.0000
pass_ks_m = 0.0000, pass_ks_f = 0.0000
Male & Dynamic & $15$ &  $0.0000$ & $0.0000$ & $0.0000$ & $0.0000$
Female & Dynamic & $15$ &  $0.0000$ & $0.0000$ & $0.0000$ & $0.0000$
